562.488  152.951  VimEnter   autocommands
339.615  000.213  000.213    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/branch.vim
195.528  000.211  000.211    sourcing      /home/osboxes/.vim/plugged/vim-repeat/autoload/repeat.vim
197.878  000.208  000.208    sourcing      /home/osboxes/.vim/plugged/vim-tmux-navigator/plugin/tmux_navigator.vim
046.847  000.206  000.206    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
296.383  000.206  000.206    sourcing      /usr/share/nvim/runtime/plugin/gzip.vim
200.203  000.201  000.201    sourcing      /home/osboxes/.vim/plugged/vim-commentary/plugin/commentary.vim
312.034  000.201  000.201    sourcing      /usr/share/nvim/runtime/plugin/zipPlugin.vim
201.543  000.198  000.198    sourcing      /home/osboxes/.vim/plugged/vim-startify/plugin/startify.vim
042.609  000.186  000.186    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
101.595  000.186  000.186    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
247.489  000.180  000.180    sourcing      /home/osboxes/.vim/plugged/vim-maximizer/plugin/maximizer.vim
044.847  000.179  000.179    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
103.105  000.178  000.178    sourcing      /usr/share/nvim/runtime/syntax/syncolor.vim
188.891  000.177  000.177    sourcing      /home/osboxes/.vim/plugged/setcolors.vim/plugin/setcolors.vim
171.984  000.171  000.171    sourcing      /home/osboxes/.vim/eclim/plugin/java_tools.vim
170.116  000.163  000.163    sourcing      /home/osboxes/.vim/eclim/plugin/ftdetect_jdt.vim
243.154  000.162  000.162    sourcing      /home/osboxes/.vim/plugged/vim-dispatch/plugin/dispatch.vim
176.055  000.159  000.159    sourcing      /home/osboxes/.vim/eclim/plugin/settings_groovy.vim
308.732  000.157  000.157    sourcing      /usr/share/nvim/runtime/plugin/tarPlugin.vim
379.809  000.151  000.151    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/builder.vim
237.714  000.146  000.146    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline.vim
382.085  000.139  000.139    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/default.vim
209.420  000.132  000.132    sourcing      /home/osboxes/.vim/plugged/vim-fubitive/plugin/fubitive.vim
314.624  000.131  000.131    sourcing      /home/osboxes/.vim/plugged/ultisnips/after/plugin/UltiSnips_after.vim
344.397  000.128  000.128    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/whitespace.vim
234.701  000.125  000.125    sourcing      /home/osboxes/.vim/plugged/ZoomWin/plugin/ZoomWinPlugin.vim
312.169  000.125  loading    packages
292.462  000.123  000.123    sourcing      /home/osboxes/.vim/plugged/vim-lsp/plugin/lsp.vim
309.911  000.118  000.118    sourcing      /usr/share/nvim/runtime/plugin/tohtml.vim
187.215  000.114  000.114    sourcing      /home/osboxes/.vim/plugged/ale/autoload/ale/toggle.vim
238.669  000.111  000.111    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/init.vim
242.323  000.109  000.109    sourcing      /home/osboxes/.vim/plugged/JavaDecompiler.vim/plugin/jad.vim
307.069  000.106  000.106    sourcing      /usr/share/nvim/runtime/plugin/shada.vim
377.689  000.106  000.106    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/util.vim
089.267  000.105  000.105    sourcing      /home/osboxes/.vim/plugged/vim-json/ftdetect/json.vim
332.505  000.099  000.099    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/quickfix.vim
560.500  000.099  000.099    sourcing      /home/osboxes/.vim/plugged/vim-lsp/autoload/lsp/utils.vim
207.670  000.097  000.097    sourcing      /home/osboxes/.vim/plugged/fugitive-stash.vim/plugin/fugitive-stash.vim
355.496  000.097  000.097    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/section.vim
338.295  000.095  000.095    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/csv.vim
563.485  000.095  000.095    sourcing      /home/osboxes/.vim/plugged/ale/autoload/ale/cursor.vim
278.284  000.094  000.094    sourcing      /home/osboxes/.vim/plugged/ultisnips/autoload/UltiSnips/map_keys.vim
336.846  000.093  000.093    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/tagbar.vim
350.256  000.090  000.090    sourcing      /home/osboxes/.vim/plugged/vim-airline/autoload/airline/extensions/windowswap.vim
